"#","Type","Section","Question","RFP Reference","RFP Location","Justification"
"1","Original","Scope & Transition Planning","Can MGRC provide a breakdown of current monthly ticket/service request volume by application area (Salesforce, Oracle Fusion, OCI, NexSTAR, integrations, etc.) and by priority level (P1-P4) for the trailing 12 months?","MGRC Environment","MGRC Overview section, current operations description","Critical for cost modeling. Ticket volume by app and severity determines team size. Standard question every MSP will ask."
"2","Original","Scope & Transition Planning","What is the current FTE count (internal and external/contractor) supporting each application area today? How many of these resources are expected to transition to the MSP, remain at MGRC, or depart during the onboarding period?","MGRC Environment","MGRC Overview section, staffing details","Indicates how many people do this work today, which estimates how many we need. Also clarifies rebadge expectations."
"3","Original","Scope & Transition Planning","For the Knowledge Transfer phase (May 18 - July 6), will MGRC's current support resources remain fully available to shadow and co-work with MSP staff during the entire transition period, or is there an expected ramp-down schedule for current resources?","Specific Requirements","General section, Transition subsection","If current staff leave before KT is complete, we have a coverage gap. We need to price for parallel running costs and potential extended stabilization."
"4","Original","Scope & Transition Planning","Is MGRC open to a phased go-live approach where application areas are transitioned in priority waves rather than a single go-live date of July 6 for all areas?","Specific Requirements","General section, Go-Live subsection","Phased approach reduces delivery risk and allows early wins. Gives time to ramp on complex areas like Oracle Fusion. Shows pragmatic thinking."
"5","Original","Scope & Transition Planning","Of the 50+ integrations listed, how many are currently in production and stable versus in active development or experiencing recurring issues? Can MGRC provide error/failure rates for the top integrations by volume?","MGRC Environment","Integration Inventory spreadsheet","A stable integration needs monitoring; a troubled one needs engineering. This distinction could mean 2 vs 5 integration engineers."
"6","Original","Scope & Transition Planning","The RFP notes OCI effort is estimated at under 1,000 hours annually. Can MGRC provide similar annual hour estimates for other application areas to help vendors right-size proposals?","Specific Requirements","OCI section, Row 48","If they provided 1,000 hours for OCI, they likely have internal estimates for other areas. Enables far more accurate pricing than competitors who guess."
"7","New","Scope & Transition Planning","What is the current onshore/offshore distribution of support resources, and what is the organizational structure (e.g., dedicated teams per app vs. shared pool)?","MGRC Environment","MGRC Overview section","Understanding current model helps us staff appropriately and match their existing structure. Builds on Q2 by adding geographic and organizational detail."
"8","New","Scope & Transition Planning","As a follow-up on integration stability: when integration issues arise, does MGRC's team typically resolve them in-house, or are they escalated to software vendors like Oracle or MuleSoft, or to the current support provider?","MGRC Environment","Integration Inventory spreadsheet","Clarifies accountability model for integrations. Affects how we staff and what expertise level we need. Builds on Q5 by addressing ownership."
"9","New","Scope & Transition Planning","Is the July 6 go-live date firm, or is there potential for schedule adjustment based on current project status? What contingency exists if the Oracle Fusion go-live extends past May 18?","Timeline","Specific Requirements, General, Go-Live","If project slips, MSP transition timeline compresses or extends. Shows dependency awareness. Strategic intel suggests SIT2/UAT overlap and resource pressure."
"10","New","Scope & Transition Planning","As MGRC consolidates vendor relationships, what is the expected timeline for transitioning work from exiting vendors to the selected MSP(s)? Will the MSP be responsible for any transition activities from other vendors?","Strategic Intel","Vendor consolidation from 20 to 3-10 vendors","Hidden scope risk. We may inherit work from exiting vendors, which affects Phase 1 effort and staffing requirements."
"11","New","Scope & Transition Planning","Can MGRC characterize the current state of operational documentation (runbooks, SOPs, architecture diagrams) for each application area? Which areas are well-documented vs. relying primarily on tribal knowledge?","Scope of Services","Section 4, Documentation & Knowledge Management","Poor documentation means longer KT and higher transition risk. Understanding baseline helps price accurately and plan for documentation remediation."
"12","Original","Evaluation & Selection Criteria","Can MGRC share the relative weighting or ranking of the evaluation criteria listed (expertise, completeness, customer service, governance, vendor strength, compliance, value/TCO)?","Next Steps","Selection Process section","If price is 50% of the score, we need to be cost-aggressive. If expertise is weighted highest, we emphasize institutional knowledge. Shapes everything."
"13","Revised","Evaluation & Selection Criteria","Does MGRC have a preference between a single MSP provider across all solution areas versus multiple providers with complementary coverage?","Next Steps","Selection Process section","Most important strategic question. If multi-vendor acceptable, we bid confidently on strongest areas. If single-vendor only, we need consortium response. Revision removes the specific split example that revealed our thinking."
"14","New","Evaluation & Selection Criteria","Can MGRC share who will be participating in the evaluation process (e.g., IT, Finance, Procurement, Business Units)?","Next Steps","Selection Process section","Helps tailor proposal messaging to actual evaluators. Standard process question that provides competitive intel without revealing strategy."
"15","New","Evaluation & Selection Criteria","What role does MGRC envision AI and automation playing in managed services over the next 2-3 years? Are there specific areas where automation is a priority?","Strategic Intel","Mae Roberts conversation; Win Strategy 4","Mae flagged AI as differentiator. Everyone else will position around AI too, so asking this levels the playing field and helps us emphasize the right capabilities."
"16","Original","Staffing & Resource Model","For US business hours support (5 AM - 5 PM PST), does MGRC require dedicated named resources assigned exclusively to MGRC for each application area, or is a shared/pooled resource model with guaranteed response SLAs acceptable?","General Requirements","Service & Support section, 4.1","Named dedicated resources cost significantly more (10-15 FTEs minimum). A pooled model with SLA commitments is more efficient. Potentially $500K+ annual pricing difference."
"17","Original","Staffing & Resource Model","For after-hours data pipeline monitoring (10 PM - 7 AM PT), what is the typical nightly volume of pipeline runs and average frequency of interventions requiring hands-on remediation versus automated alerting with next-business-day follow-up?","Specific Requirements","Snowflake/Data section, Rows 145-147","If mostly passive monitoring with rare interventions, a small offshore NOC team works. If nightly hands-on fixes are common, we need skilled engineers on night shift."
"18","Original","Staffing & Resource Model","Does MGRC have existing change management policies and maintenance schedules for the MSP to adopt, or should we propose a governance framework during Phase 1?","General Requirements","Technology Management section, 5.2","Adopting existing processes means less Phase 1 effort. Building from scratch is significant Phase 1 scope and cost. Also indicates operational governance maturity."
"19","Original","Staffing & Resource Model","For Oracle Fusion day-to-day operations, can MGRC provide approximate monthly volumes for period-close activities, journal entries, PO/invoice processing, and service requests? Are there seasonal peaks (quarter-end, year-end) that require surge staffing?","Specific Requirements","Oracle Fusion section, Row 36","Oracle Fusion ops is the single largest scope item. Volume data enables accurate staffing. The seasonal peak question shows we understand ERP operations."
"20","New","Staffing & Resource Model","For dedicated resources, are there specific skill certifications or experience requirements that MGRC considers mandatory vs. preferred?","General Requirements","Service & Support section, 4.1","Staffing accuracy depends on distinguishing required vs nice-to-have certifications. Affects recruiting timeline and pricing. Builds on Q16."
"21","New","Staffing & Resource Model","Will the MSP be expected to coordinate with or manage relationships with third-party vendors (e.g., Oracle support, MuleSoft support, implementation partners)? If so, can MGRC provide a list of current third-party vendors and their support scope?","Scope of Services","Integration & Connectivity section","MSP may inherit coordination responsibility for multiple vendors. Strategic intel flagged Atom as a pain point. This is potential high-value scope BayOne could capture."
"22","Original","Technology & Environment","What is the expected timeline for migration from FreshService to ServiceNow (or similar)? Will the MSP be expected to support both platforms during transition, and is the MSP expected to play a role in the ServiceNow implementation itself?","MGRC Environment","IT Service Management section","Dual-platform support is expensive. If we're also part of ServiceNow migration, that's a separate workstream affecting tooling investment and resource skills."
"23","Original","Technology & Environment","For NexSTAR (custom application), can MGRC provide documentation on the technology stack, codebase language/framework, architecture diagrams, known technical debt, and deployment pipeline? Will the MSP have full source code and development environment access?","Specific Requirements","NexSTAR section, Rows 79-80","Custom apps are the highest-risk area. Without knowing the stack, we can't staff appropriately. The 24x7 requirement makes this even more critical to understand."
"24","Original","Technology & Environment","For the Customer Hub (nopCommerce), can MGRC clarify the PCI compliance scope and whether the MSP is expected to maintain PCI certification or support MGRC's existing audit process?","Specific Requirements","Customer Hub section, Rows 164-165","PCI responsibility for a customer-facing payment portal is a significant compliance obligation. If we hold PCI accountability, security costs and insurance requirements increase substantially."
"25","New","Technology & Environment","Are there existing ITSM workflows, automations, or custom configurations in FreshService that must be migrated to ServiceNow? What is the expected level of MSP involvement in the migration project?","MGRC Environment","IT Service Management section","Migration complexity affects Phase 1 scope. Custom configurations could significantly increase effort. Builds on Q22 by probing technical details."
"26","New","Technology & Environment","What is the current state of test automation for regression, smoke, and integration testing? Would MGRC be interested in the MSP introducing automation capabilities as part of the engagement?","Strategic Intel","QA Coordinator interview; 100% manual testing","If MSP inherits QA responsibility, automation state affects staffing. Also signals potential value-add opportunity. Probes automation appetite without revealing our approach."
"27","New","Technology & Environment","Does MGRC have existing SIEM/SOC capabilities, or will the MSP be expected to provide security monitoring and incident response?","Compliance & Security","Requirements section","SIEM monitoring and incident response are distinct from compliance. Could be large hidden scope if MSP is expected to provide these capabilities."
"28","New","Technology & Environment","For critical systems like Oracle Fusion, NexSTAR, and Customer Hub - what are the recovery targets if there's an outage? How often are disaster recovery tests conducted, and will the MSP be expected to plan and run those drills?","Scope of Services","Section 4, Disaster Recovery & Backup","RTO/RPO expectations directly impact staffing and tooling. DR testing could range widely in effort. Listed as service domain but no details provided."
"29","New","Compliance & Audit","Can MGRC provide a calendar of compliance audits scheduled for the next 12 months and clarify which audits the MSP will be expected to support, lead evidence gathering for, or remediate findings from?","Compliance & Security","Section 7, lists 8 frameworks","RFP lists 8 compliance frameworks (SOC 2, PCI, HIPAA, GDPR, etc.) but only touches PCI. Unknown audit frequency, remediation backlog, or effort implications. Could be 50+ or 500+ hours annually."
"30","Original","Commercial & Contractual","Does MGRC have a target budget range or not-to-exceed threshold for the MSP engagement that vendors should be aware of when structuring proposals?","Pricing","General pricing section","Saves everyone time. If their budget is $2M/year and we price at $4M, we're wasting effort. Rarely answered directly but sometimes they'll confirm you're in the ballpark."
"31","Revised","Commercial & Contractual","Is MGRC open to pricing models that combine fixed operational support with variable capacity for enhancement and project work?","Pricing","General pricing section","Gets the same intel about pricing flexibility without revealing our commercial preference or concern about scope creep."
"32","Revised","Commercial & Contractual","For multi-year pricing, does MGRC expect flat pricing across Years 1-3, or is there flexibility in how pricing is structured year-over-year?","Pricing","Phase 1 & Phase 2 pricing sections","Gets the same intel without explicitly describing our strategy (aggressive Year 1, normalized later). Maintains flexibility while gathering information."
"33","Original","Commercial & Contractual","For items designated as 'Shared Responsibility,' will the RACI and responsibility splits be finalized before contract execution, or will they be defined during the Phase 1 onboarding period? How will scope disputes in shared areas be resolved?","General Requirements","Shared Responsibility section, 2.1","Most of the RFP is Shared Responsibility but splits aren't defined. If we sign a fixed-price contract without clear RACI, we risk absorbing more scope than priced."
"34","New","Commercial & Contractual","For scope changes identified after contract execution (e.g., new integrations, acquisitions, system upgrades), what is MGRC's change request and approval process? Will these be priced separately or absorbed into the base contract?","General Requirements","Contract terms","Protects against post-contract scope creep. M&A, new integrations, and system upgrades could all expand scope beyond what was originally priced."
"35","New","Commercial & Contractual","Are there pending or planned acquisitions that would affect MSP scope within the first 12 months? If so, how many and what is their general scope?","Scope of Services","Data Management section, M&A onboarding","M&A onboarding is listed as a service domain. Need to understand if this is theoretical or imminent. Could add significant scope within contract period."
"36","New","Commercial & Contractual","How have M&A integrations historically been handled from a support perspective?","Scope of Services","Data Management section, M&A onboarding","Understanding past approach helps us plan for future acquisitions. If M&A has been chaotic historically, we need to price for that. Complements Q35."
