,"Below are the specific tasks and activities that MGRC expects from the potential MSP by application area.

Please provide details in the comments section, as needed. We realize that not every MSP will be able to provide all the services listed below, but we highly encourage you to respond regardless, especially on areas that  you have expertise, capabilities, and able to support. 
If you are unable to provide these services please indicate ""Not Provided"" in the MSP Comments section. If only partially provided, provide details in MSP Comments section. Separate and more detailed proposals are expected as supplemental to this information.",,,,,,,,,,,,,,
,Definitions,,"MSP Owned: MGRC fully expects that the MSP will be primarily responsible for these assigned tasks and activities. MGRC will look to the MSP as  experts in these areas.
   Shared Responsibility: Responsibility for the service is jointly managed by the MSP and MGRC, with clearly defined roles and shared accountability for performance and results. Responsibility splits will be defined at a later time in the SOW. 
   Augmented by MSP: MGRC retains ownership and accountability for the service, while the MSP provides flexible capacity or specialized expertise to handle spikes and dips in workload under MGRC’s direction. Responsibility splits will be defined at a later time in the SOW.
   MGRC Owned: MGRC will fully managed and be primarily responsible for these tasks and activities. This will be out of scope for the MSP.",,,,,,,,,,,,
,McGrath Requirements,,,,,,,Provider Response,,,,,,,
,Solution,Category,Specific Requirements,MSP Owned,Shared,MSP Augmented,"MGRC 
Owned",Decline to Bid,Bid As Specified,Bid As Modified,MSP Comments,Solution,,,
,"Salesforce
CRM, CPQ, CLM and integrations with Avalara, DocuSign, D&B, Zilliant, and others. Particular focus on management of new Contract, Order, and Amendments released with NextGen Release 1.",Administration & Configuration,"Provide comprehensive administration and configuration services to support stable, secure, and business‑aligned platform operations. This includes user, role, profile, and permission management; permission sets and access governance; page layouts and user interface configurations; declarative automation such as flows and workflows; validation rules; approval processes; and ongoing environment management across all supported modules and environments. Services must ensure alignment with documented business rules, operational policies, and governance standards. Support day‑to‑day administrative requests, configuration changes, access provisioning/deprovisioning, and issue resolution to maintain system integrity, usability, and compliance. Single Sign‑On (SSO) and identity federation support may vary by tool and identity provider and shall be handled in accordance with each platform’s supported authentication model.",False,True,False,False,False,False,False,,Salesforce,,,
,,Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration, connectivity, data-flow exceptions and API/integration issues across modules and related components. As needed, manage SR process with solution provider.",False,True,False,False,,False,False,,,,,
,,Release & Deployment Management,"Review, impact assessment of periodic releases, regression testing, resolution of functional, configuration, and integration issues across all modules, configuration documentation updates, deployment support and coordination, environment & sandbox refresh coordination, knowledge transfer.",False,True,False,False,,False,False,,,,,
,,Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",False,True,False,False,,False,False,,,,,
,,Operational Day-to-Day,"Deliver ongoing day‑to‑day operational support to ensure platform stability and business continuity, including service request fulfillment, minor enhancements, configuration updates, data fixes, and user support.",False,True,False,False,,False,False,,,,,
,,Integration & Connectivity Support,"Monitoring and error handling for integrations with DocuSign, D&B, Zilliant, and other connected systems; coordination with middleware teams for API and data‑flow issues.",False,True,False,False,,False,False,,,,,
,,Performance & Health Monitoring & Optimization,"Proactive checks on automation, scheduled processes, data loads and quality, governor limits, SLA accounting, cross-module dependencies to ensure optimal system stability and performance; recommendations to improve stability and scalability.",True,False,False,False,,False,False,,,,,
,,Security & Compliance,"Identify and Access Management (IAM) and role governance, segregation-of-duties reviews, audit support, field‑level security reviews, permission hygiene, network security, security hardening, vulnerability management, and adherence to internal security and compliance standards. Certificate/key rotation as applicable. OAuth/JWT configuration as needed. Comply with MGRC's defined Change Management controls.",False,True,False,False,,False,False,,,,,
,,Data Management,"Data imports/exports, cleansing, deduplication, validation, and support for migration or M&A onboarding activities. Reconcile data across systems and monitor data integrity. Master data management support.",False,True,False,False,,False,False,,,,,
,,Cost & Capacity Management,"Monitoring licensing usage to identify unused, underutilized or duplicate licenses to reduce expenditures. Support solution renewal negotiations. Support predictive cost analysis for budgeting and forecasting. Support capacity planning and optimization.",False,False,True,False,,False,False,,,,,
,,"Development, Enhancement & Optimization","Provide ongoing development, enhancement, and optimization to improve technical and business processes across supported platforms, including automation, configuration refinement, support of platform features and custom components, reusable assets, and adherence to best practices. Services also include optimizing analytics, dashboards, KPIs, and reporting, and delivering recommendations to improve usability, efficiency, scalability, and operational effectiveness, prioritized against business objectives and delivered through governed, repeatable approaches.",False,True,False,False,,False,False,,,,,
,,Disaster Recovery & Backup Support,"Risk assessment, establish and support Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO), develop Disaster Recovery Plan (RDP) with procredures, ensure automated backups with comprehensive data capture and secure storage, conduct and support periodic (minimally annually) drill simulations to comply to RTO and RPO.",False,True,False,False,,False,False,,,,,
,,Documentation & Knowledge Management,"Preparation, revision and maintenance and knowledge transfer support and management of SOPs, configuration logs, runbooks, and knowledge articles for ongoing operations.",True,False,False,False,,False,False,,,,,
,,Collaboration & Governance,"Regular reporting, roadmap alignment, and close coordination with internal IT, business stakeholders, and module owners.",True,False,False,False,,False,False,,,,,
,RecVue,Administration & Configuration,"Provide comprehensive administration and configuration services to support stable, secure, and business‑aligned platform operations. This includes user, role, profile, and permission management; permission sets and access governance; page layouts and user interface configurations; declarative automation such as flows and workflows; validation rules; approval processes; and ongoing environment management across all supported modules and environments. Services must ensure alignment with documented business rules, operational policies, and governance standards. Support day‑to‑day administrative requests, configuration changes, access provisioning/deprovisioning, and issue resolution to maintain system integrity, usability, and compliance. Single Sign‑On (SSO) and identity federation support may vary by tool and identity provider and shall be handled in accordance with each platform’s supported authentication model.",False,True,False,False,False,False,False,,RecVue,,,
,,Day to Day Operations,"Deliver ongoing day‑to‑day operational support to ensure platform stability and business continuity, including service request fulfillment, minor enhancements, configuration updates, data fixes, and user support. Billing and revenue cycle execution — running billing cycles, validating invoices, handling exceptions, supporting revenue schedules, and managing contract changes.",True,False,False,False,,False,False,,,,,
,,Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration and API/integration issues across modules and related components. Integration operations — monitoring and fixing issues with ERP, CRM, CPQ, tax, usage, and payment integrations; managing API failures and data ingestion errors.As needed, manage SR process with solution provider.",False,True,False,False,,False,False,,,,,
,,Release & Deployment Management,"Review, impact assessment of periodic releases, regression testing, resolution of functional, configuration, and integration issues across all modules, configuration documentation updates, deployment support and coordination, environment & sandbox refresh coordination, knowledge transfer.",True,False,False,False,,False,False,,,,,
,,Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",True,False,False,False,,False,False,,,,,
,,Integration & Connectivity Support,"Monitoring and error handling for integrations with  ERP, CRM, CPQ, tax, usage, and payment integrations; managing API failures and data ingestion errors., and other connected systems; coordination with middleware teams for API and data‑flow issues.",False,True,False,False,,False,False,,,,,
,,Performance & Health Monitoring & Optimization,"Proactive checks on automation, scheduled processes, data loads and quality, governor limits, SLA accounting, cross-module dependencies to ensure optimal system stability and performance; recommendations to improve stability and scalability.",True,False,False,False,,False,False,,,,,
,,Security & Compliance,"Identify and Access Management (IAM) and role governance, segregation-of-duties reviews, audit support, field‑level security reviews, permission hygiene, network security, security hardening, vulnerability management, and adherence to internal security and compliance standards. Certificate/key rotation as applicable. OAuth/JWT configuration as needed. Comply with MGRC's defined Change Management controls.",False,True,False,False,,False,False,,,,,
,,Data Management,"Data imports/exports, cleansing, deduplication, validation, and support for migration or M&A onboarding activities. Reconcile data across systems and monitor data integrity. Master data management support.",False,True,False,False,,False,False,,,,,
,,Reporting,"Produce, update, troubleshoot and manage operational and financial reports.",True,False,False,False,,False,False,,,,,
,,Cost & Capacity Management,"Monitoring licensing usage to identify unused, underutilized or duplicate licenses to reduce expenditures. Support solution renewal negotiations. Support predictive cost analysis for budgeting and forecasting. Support capacity planning and optimization.",False,True,False,False,,False,False,,,,,
,,"Development, Enhancement & Optimization","Provide ongoing development, enhancement, and optimization to improve technical and business processes across supported platforms, including automation, configuration refinement, support of platform features and custom components, reusable assets, and adherence to best practices. Services also include optimizing analytics, dashboards, KPIs, and reporting, and delivering recommendations to improve usability, efficiency, scalability, and operational effectiveness, prioritized against business objectives and delivered through governed, repeatable approaches.",True,False,False,False,,False,False,,,,,
,,Disaster Recovery & Backup Support,"Risk assessment, establish and support Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO), develop Disaster Recovery Plan (RDP) with procredures, ensure automated backups with comprehensive data capture and secure storage, conduct and support periodic (minimally annually) drill simulations to comply to RTO and RPO.",True,False,False,False,,False,False,,,,,
,,Documentation & Knowledge Management,"Preparation, revision and maintenance and knowledge transfer support and management of SOPs, configuration logs, runbooks, and knowledge articles for ongoing operations.",True,False,False,False,,False,False,,,,,
,,Collaboration & Governance,"Regular reporting, roadmap alignment, and close coordination with internal IT, business stakeholders, and module owners.",True,False,False,False,,False,False,,,,,
,"Oracle Fusion (including FSM, EPBCS, ARCS and all NextGen Oracle Fusion modules)",Full Fusion Suite Deliverables,"Providers should indicate all supported modules included in MGRC NextGen suite and identify any exclusions or limitations. (e.g Finance, Procurement, Supply Chain, Projects (Aconex), Field Service Management, Enterprise Performance Management Software, ARCS, etc.)",False,True,False,False,False,False,False,,Oracle Fusion (+FSM),,,
,,Administration & Configuration,"Provide comprehensive administration and configuration services to support stable, secure, and business‑aligned platform operations. This includes user, role, profile, and permission management; permission sets and access governance; page layouts and user interface configurations; declarative automation such as flows and workflows; validation rules; approval processes; and ongoing environment management across all supported modules and environments. Services must ensure alignment with documented business rules, operational policies, and governance standards. Support day‑to‑day administrative requests, configuration changes, access provisioning/deprovisioning, and issue resolution to maintain system integrity, usability, and compliance. Single Sign‑On (SSO) and identity federation support may vary by tool and identity provider and shall be handled in accordance with each platform’s supported authentication model.",False,True,False,False,,False,False,,,,,
,,Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration, connectivity, data-flow exceptions and API/integration issues across modules and related components.As needed, manage SR process with solution provider.",False,True,False,False,,False,False,,,,,
,,Operational Day-to-Day,"Deliver ongoing day‑to‑day operational support to ensure platform stability and business continuity, including service request fulfillment, minor enhancements, configuration updates, data fixes, and user support.

MSP will provide the following:   

   -    End to end functional support across Finance, Procurement, Supply Chain, Manufacturing, Field Service Management and Order Management
   -    Master data maintenance (customers, suppliers, items, COA, org structures)
   -    Transaction processing support (orders, invoices, journals, POs, receipts, payments, work orders)
   -    Period‑close activities for GL, AP, AR, Inventory, Costing, and related modules
   -    Configuration updates, workflow adjustments, and SLA/accounting rule validation
   -    Issue triage, root cause analysis, and resolution across all Fusion modules
   -    Support for integrations (OIC, APIs, banks, tax engines, CRM/CPQ, WMS, planning systems)
   -    Testing for quarterly patches, enhancements, and regression cycles
   -    Documentation: BRDs, FSDs, test scripts, SOPs, and knowledge articles
   -    Data validation for migrations, conversions, and M&A onboarding
  - Business process support for planning, budgeting, forecastings, consolidation and close.

On demand tasks requested by MGRC which could include: 
(1) Advisory support and end user training on application-related issues 
(2) assist with complex error / application issues",False,True,False,False,,False,False,,,,,
,,Release & Deployment Management,"Review, impact assessment of periodic releases, regression testing, resolution of functional, configuration, and integration issues across all modules, configuration documentation updates, deployment support and coordination, environment & sandbox refresh coordination, knowledge transfer.",False,True,False,False,,False,False,,,,,
,,Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",False,True,False,False,,False,False,,,,,
,,Integration & Connectivity Support,"Monitoring and error handling for OIC, APIs, bank files, tax engines, CRM/CPQ, WMS, and other connected systems; coordination with integration and middleware teams.",True,False,False,False,,False,False,,,,,
,,Performance & Health Monitoring & Optimization,"Proactive checks on automation, scheduled processes, ESS jobs, data loads and quality, governor limits, SLA accounting, cross-module dependencies to ensure optimal system stability and performance; recommendations to improve stability and scalability.",True,False,False,False,,False,False,,,,,
,,Security & Compliance,"Identify and Access Management (IAM) and role governance, segregation-of-duties reviews, audit support, field‑level security reviews, permission hygiene, network security, security hardening, vulnerability management, and adherence to internal security, financial control standards, and compliance standards. Certificate/key rotation as applicable. OAuth/JWT configuration as needed. Comply with MGRC's defined Change Management controls.",False,True,False,False,,False,False,,,,,
,,Cost & Capacity Management,"Monitoring licensing usage to identify unused, underutilized or duplicate licenses to reduce expenditures. Support solution renewal negotiations. Support predictive cost analysis for budgeting and forecasting. Support capacity planning and optimization.",False,True,False,False,,False,False,,,,,
,,Data Management,"Data imports/exports, cleansing, deduplication, validation, and support for migration or M&A onboarding activities. Reconcile data across systems and monitor data integrity. Master data management support.",False,True,False,False,,False,False,,,,,
,,Disaster Recovery & Backup Support,"Risk assessment, establish and support Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO), develop Disaster Recovery Plan (RDP) with procredures, ensure automated backups with comprehensive data capture and secure storage, conduct and support periodic (minimally annually) drill simulations to comply to RTO and RPO.",False,True,False,False,,False,False,,,,,
,,"Development, Enhancement & Optimization","Provide ongoing development, enhancement, and optimization to improve technical and business processes across supported platforms, including automation, configuration refinement, support of platform features and custom components, reusable assets, and adherence to best practices. Services also include optimizing analytics, dashboards, KPIs, and reporting, and delivering recommendations to improve usability, efficiency, scalability, and operational effectiveness, prioritized against business objectives and delivered through governed, repeatable approaches.",False,True,False,False,,False,False,,,,,
,,Documentation & Knowledge Management,"Preparation, revision and maintenance and knowledge transfer support and management of SOPs, configuration logs, runbooks, and knowledge articles for ongoing operations.",True,False,False,False,,False,False,,,,,
,,Collaboration & Governance,"Regular reporting, roadmap alignment, and close coordination with internal IT, business stakeholders, and module owners.",False,True,False,False,,False,False,,,,,
,Oracle Cloud Infrastructure (OCI),Operational Day-to-Day,"MSP will provide management and operational support for McGrath’s OCI environments and capacity management during US business hours. The MSP will implement and maintain OCI best practices across security, networking, identity, governance, and high availability.
Functional Support Services: Provide assistance to Customer personnel involved in the daily interaction with the Customer environments. All work activity will be at the request and direction of the MSP SDM or through the MSP Help Desk. Tasks also include researching and resolving problems, developing and documenting recommendations, communicating with the Customer on the progress of work activities, scheduling support-related meetings or conference calls, supporting day-to-day operations, and/or performing administrative task.

McGrath owns and manages its OCI tenancy, which currently hosts Autonomous Transaction Processing (ATP) databases, supporting services (such as FTP), and serves as the backend for our Oracle SaaS applications. Although our OCI footprint is relatively small, we lack deep in‑house operational expertise and are seeking an MSP to partner with us on day‑to‑day operations. The selected MSP will oversee operational management of the OCI tenancy, including security, cost management, performance monitoring, patching, connectivity support (including integrations with other cloud platforms such as Azure), and provisioning of new resources. All activities will be performed in close coordination with McGrath’s DevOps and Security teams. The total annual effort for this engagement is expected to be under 1,000 hours.",False,True,False,False,False,False,False,,Oracle Cloud Infrastructure (OCI),,,
,,Administration & Configuration,"Provisioning and managing compute, storage, networking, ATP databases, load balancers, and other OCI resources. As needed, installation, setup and ongoing maintnenace of base components. Implementation of automation for provisioning, monitoring, patching, and routine operational tasks. Provide comprehensive administration and configuration services to support stable, secure, and business‑aligned platform operations. This includes user, role, profile, and permission management; permission sets and access governance; page layouts and user interface configurations; declarative automation such as flows and workflows; validation rules; approval processes; and ongoing environment management across all supported modules and environments. Services must ensure alignment with documented business rules, operational policies, and governance standards. Support day‑to‑day administrative requests, configuration changes, access provisioning/deprovisioning, and issue resolution to maintain system integrity, usability, and compliance. Single Sign‑On (SSO) and identity federation support may vary by tool and identity provider and shall be handled in accordance with each platform’s supported authentication model.",False,True,False,False,,False,False,,,,,
,,Release & Deployment Management,"Review, impact assessment of periodic releases, regression testing, resolution of functional, configuration, and integration issues across all modules, configuration documentation updates, deployment support and coordination, environment & sandbox refresh coordination, knowledge transfer.",False,True,False,False,,False,False,,,,,
,,Patch & Maintenance Management,"Continuous monitoring and identification, automation and deployment, patching of instances, databases and supporting services; regression testing and validation, resolution of issues. Coordination of maintenance windows and environment updates.",True,False,False,False,,False,False,,,,,
,,Performance & Health Monitoring & Optimization,"Proactive checks on automation, scheduled processes, governor limits, dependencies to ensure optimal system stability and performance; recommendations to improve stability and scalability.Proactive tuning of compute, storage, networking, and database performance; recommendations to improve reliability and scalability.

Ongoing Management of Customer components: Services to include 
(1) Monitor the availability of selected Customer components using TCP/IP 
(2) Provide problem determination, problem resolution, or other technical assistance in an assist capacity as requested by Customer and 
(3) Perform quarterly scanning of router and/or switch Customer components to attempt to detect ports and services that may be vulnerable to intrusion. 

Services will include allocation by MSP of space, equipment and telecommunications capacity in Oracle’s cloud structure and specific activities in connection with the administration and support of the Customer’s server, application server, application software and/or database software.",True,False,False,False,,False,False,,,,,
,,General Suport,"Enhanced Tier I and Tier II Service Desk Support: On average, are estimated to take no longer than thirty (30) minutes to complete/resolve",False,False,False,False,,False,False,,,,,
,,Incident & Error Management,"Triage, troubleshooting, root‑cause analysis, and resolution of functional, configuration, connectivity, data-flow exceptions and API/integration issues across modules and related components. As needed, manage SR process with solution provider.",False,True,False,False,,False,False,,,,,
,,"Backup, DR & High Availability","Management of backups, recovery procedures, DR configuration, failover testing, and adherence to OCI resiliency best practices.",True,False,False,False,,False,False,,,,,
,,Security & Compliance,"Identify and Access Management (IAM) and role governance, segregation-of-duties reviews, audit support, field‑level security reviews, permission hygiene, network security, security hardening, vulnerability management, and adherence to internal security and compliance standards. Certificate/key rotation as applicable. OAuth/JWT configuration as needed. Comply with MGRC's defined Change Management controls.",True,False,False,False,,False,False,,,,,
,,Cost & Capacity Management,"Cost monitoring, tagging governance, rightsizing, forecasting, and recommendations to optimize cloud spend and resource utilization.",False,True,False,False,,False,False,,,,,
,,Integration & Connectivity Support,"Oversight of connectivity between OCI and other platforms (e.g., Azure), VPN/DRG management, and troubleshooting cross‑cloud integrations.",True,True,False,False,,False,False,,,,,
