Section,Number,Requirement,Type,MSP Response
,1,Account & Support Management Expectations,Section Header,MSP Response
Account & Support Management Expectations,1.1,"Provide a primary and alternate contact point for Client inquiries regarding services, invoices, or technical trends, to communicate relevant business changes or needs and for any situation in which the Client is not sure who to contact.",Requirement,
Account & Support Management Expectations,1.2,Provide an escalation and account management process. The escalation process should be clearly defined with the escalation paths identified.,Requirement,
Account & Support Management Expectations,1.3,"Assist in developing strategic plans, budgeting, and benchmarks to align with short, medium and long-term business goals including identifying and quantifying business risk and risk mitigation plans.",Requirement,
Account & Support Management Expectations,1.4,"Provide clearly defined and documented Service Level Agreements with clearly defined response and resolution times, uptime commitments, and penalties for non-performance.",Requirement,
Account & Support Management Expectations,1.5,Provide a process to coordinate efforts with McGrath to synchronize activities and utilize resources effectively and complement team to troubleshoot or address higher complexity resolution.,Requirement,
Account & Support Management Expectations,1.6,"Provide KPIs & Metrics on uptime, ticket resolution, satisfaction, completion, etc.",Requirement,
Account & Support Management Expectations,1.7,Provide an outline for a formal change request process and roles for MGRC.,Requirement,
Account & Support Management Expectations,1.8,"Host and prepare for quarterly (or periodic) business reviews, including key services, key performance indicators, open actions, status, escalations and upcoming initiatives.",Requirement,
Account & Support Management Expectations,1.9,Manage risks and contribute to governance committees.,Requirement,
,2,Shared Responsibility,Section Header,
Shared Responsibility,2.1,Provide a detailed shared responsibility model for any areas of shared responsibility include a clear RACI.,Requirement,
,1,,Section Header,
,3,Provider Tools and Technology,Section Header,
Provider Tools and Technology,3.1,List monitoring agents will be used (if any) for end user devices.,Requirement,
Provider Tools and Technology,3.2,Provide details on any MSP provided help desk or ticketing system. Describe how will MGRC be expected to interact with this help desk or ticketing system. Will an installation be required?,Requirement,
Provider Tools and Technology,3.3,Describe your overall managed firewalls or other managed technology.,Requirement,
Provider Tools and Technology,3.4,Describe any SIEM or other security-based technology used to monitor MSP provided solutions.,Requirement,
Provider Tools and Technology,3.5,Describe tools used to provide system uptime metrics.,Requirement,
Provider Tools and Technology,3.6,Describe tools used for network monitoring.,Requirement,
Provider Tools and Technology,3.7,Describe tools used for system monitoring or general health level of end user devices.,Requirement,
Provider Tools and Technology,3.8,Describe notification process for users of maintenance windows or system outages.,Requirement,
Provider Tools and Technology,3.9,Describe support center model and staffing.,Requirement,
,4,Service & Support Management,Section Header,
Service & Support Management,4.1,"Provide end-user technical support for covered Client users during U.S. hours of 5:00am PST to 5:00pm PST to address requests which may be submitted via telephone, email chat or ticket portal beyond Tier 1.",Requirement,
Service & Support Management,4.2,"Manage integration of help desk support available through Fresh Service and Service Now from MGRC to provider, if needed.",Requirement,
Service & Support Management,4.3,Interact with end users during issue resolution to collect more detail about the request or to gain access to user-controlled systems for troubleshooting purposes for tickets beyond Tier 1.,Requirement,
Service & Support Management,4.4,"Provide 24/7 access to Support request system to submit requess and review status of requests, with a named support manager and team. Prefered ability to view through McGrath's systems.",Requirement,
Service & Support Management,4.5,24/7 monitoring and alerting of managed assets with on-call support for incident resolution for critical outages or deterioration of services per SLA.,Requirement,
Service & Support Management,4.6,"Provide monthly reports and checkpoints to include key metric trend review, identifying bottlenecks that affect system performance and user experience, provide recommendations to avoid and minimize issues.",Requirement,
Service & Support Management,4.7,Troubleshoot functional/technical errors or appropriate Support service requests.,Requirement,
,5,Technology Management,Section Header,
Technology Management,5.1,"How do you manage current business systems and tools (software licenses, integrations, deployment, and updates)?",Requirement,
Technology Management,5.2,Will Service Provider be able to monitor for available patches for covered servers and systems and install approved patches on a regular cadence in accordance with best practices: • Change process details. Record and approval. • Escalation process details for high priority or zero day. • Non-critical reboots or other patch management related activities expected to impact accessibility or performance will be performed in accordance with documented Client maintenance windows.,Requirement,
,6,Managed Data & Database Services,Section Header,
Managed Data & Database Services,6.1,"As needed, setup, configure and maintain customer databases to ensure optimal performance.",Requirement,
Managed Data & Database Services,6.2,Perform query optimization and database tuning as needed.,Requirement,
Managed Data & Database Services,6.3,Descibe process to implement data backup and recovery strategies for critical systems.,Requirement,
Managed Data & Database Services,6.4,"Describe process to develop and manage a data backup & migration strategy, ensuring business continuity and alignment with MGRC policies",Requirement,
Managed Data & Database Services,6.5,"Monitor databases for uptime, free spaces, backup, maintenance, upgrades, audits, blocks, and overall design improvement. Notify of database down, disk and database free space, database backup status at Customer defined intervals).",Requirement,
Managed Data & Database Services,6.6,"Describe how you conduct error log reviews, document and update processes and procedures.",Requirement,
Managed Data & Database Services,6.7,"How does MSP support user/business jobs (data loads, updates, purges). Provide notification and as needed support triage and troubleshooting)?",Requirement,
Managed Data & Database Services,6.8,How does MSP support data cleaning and checking efforts to ensure data is sufficiently clean to achieve accurate transaction integrity?,Requirement,
,7,Integration Management,Section Header,
Integration Management,7.1,"How does the MSP demonstrate expertise in supporting MuleSoft and Oracle Integration Cloud (OIC), including experience integrating with Oracle Fusion, RecVue, ADP, third-party banks, and similar systems?",Requirement,
Integration Management,7.2,"How does the MSP monitor, support, and troubleshoot integrations in production, including error handling, alerting, retries, and incident resolution across MuleSoft and OIC?",Requirement,
Integration Management,7.3,How does the MSP manage integration changes and enhancements driven by upstream or downstream system updates (such as Oracle Fusion quarterly releases or third-party API changes) while minimizing business disruption?,Requirement,
Integration Management,7.4,"How does the MSP ensure security, data protection, and compliance across integrations, including credential management, handling of sensitive data, and adherence to regulatory requirements?",Requirement,
Integration Management,7.5,"How does the MSP maintain documentation, enable knowledge transfer, and ensure continuity of integration support during resource transitions or escalations?",Requirement,
Integration Management,7.6,How does the MSP manage supported versions of various components and plan to upgrade and stay in supported versions?,Requirement,
,8,Technical Architecture,Section Header,
Technical Architecture,8.1,Provide ongoing guidance on industry best practices and proactively idenfity potential risks and support challenges to ensure timely mitigation and alignment.,Requirement,
Technical Architecture,8.2,"Validate overall solution design, ensuring it meets defined objectives and integrates seamlessly within the broader system landscape.",Requirement,
Technical Architecture,8.3,"Contribute to the roadmap and participate in design review meetings, offering input on planning, timelines and architectural alignment.",Requirement,
Technical Architecture,8.4,"Observe development activities, including build and unit testing, and provide feedback to support quality and adherence to design standards.",Requirement,
Technical Architecture,8.5,"Support operational readiness by reviewing runbooks, participating in SIT/UAT planning and ensuring a smooth transition to post-implementation support.",Requirement,
Technical Architecture,8.6,"Collaborate with other partners as needed for review, recommendations, alignment and consultations.",Requirement,
Technical Architecture,8.7,"Describe how you define, govern, and manage cross‑functional solution architectures that span multiple systems and integration points, ensuring alignment across business domains, technology platforms, and stakeholders from different departments.",Requirement,
Technical Architecture,8.8,"Explain your approach to coordinating architecture decisions and design changes across multiple teams and vendors, including stakeholder engagement, dependency management, decision documentation, and resolution of cross‑system or cross‑department impacts.",Requirement,
,9,Technical Services,Section Header,
Technical Services,9.1,"On request, how does MSP design, build, deploy, and support application customizations and extensions across Oracle (Visual Builder, Redwood UI, APEX, OIC), Salesforce (Apex, Lightning, Flow), and related platforms.",Requirement,
Technical Services,9.2,"On request, how does MSP design, deploy, and maintain reporting and analytics solutions, including Oracle BIP and OTBI, Salesforce reports and dashboards, and advanced analytics where applicable.",Requirement,
Technical Services,9.3,"How does MSP perform data migration and data conversion activities, including ETL processes, data cleansing, validation, reconciliation, and post‑migration support across Oracle, Salesforce, and integrated systems.",Requirement,
Technical Services,9.4,"Describe how MSP provides integration support for complex, multi‑system environments, including REST/SOAP APIs, middleware, ERP adapters, and third‑party systems such as Salesforce CPQ, Zilliant Pricing, DocuSign, D&B, and Oracle Fusion ERP—especially when integrations are owned or managed by different internal teams or vendors.",Requirement,
Technical Services,9.5,"Describe how MSP provides ongoing application and UI maintenance, including updates to layouts, fields, labels, copy, and visual elements; testing legacy code against browser and platform updates; supporting Salesforce seasonal releases; and ensuring consistent user experience across integrated applications.",Requirement,
,10,Application Administration,Section Header,
Application Administration,10.1,"Discuss your User & Role management: Support security roles, data access and segregation of duties activities and architecture. Configure identity and access management roles, manage user access/revocation, conduct periodic security roles.",Requirement,
Application Administration,10.2,Discuss your Configuration management: Perform and maintain functional setups across supported modules and systems.,Requirement,
Application Administration,10.3,"Provide details on how you perform patch and update management: Handle zero-day, critical and quarterly updates, perform regression testing, prepare and execute (as needed) rollback plans.",Requirement,
Application Administration,10.4,Provide details on how you perform periodic licensing review for optimization include role reviews to optimize overall licensing spend for Client.,Requirement,
,11,Compliance and Security,Section Header,
Compliance and Security,11.1,"Discuss how you comply with all applicable legal, regulatory, and contractual cybersecurity obligations, including but not limited to: • NIST, SOC2 Type 2, HIPAA, PCI, GDPR, CMMC frameworks • McGrath RentCorp’s IT Security Compliance Policy Manual",Requirement,
Compliance and Security,11.2,"How will you implement and maintain robust cybersecurity strategies, policies, procedures, and controls to ensure protection of confidentiality, integrity, and availability of MGRC data?",Requirement,
Compliance and Security,11.3,"How do you conduct threat monitoring, pen testing, analysis, and incident responses and remediate findings?",Requirement,
Compliance and Security,11.4,How do you implement endpoint security solutions and respond to security incidents?,Requirement,
Compliance and Security,11.5,"How do you provide documented security response plans, methodology, and strategy?",Requirement,
Compliance and Security,11.6,How do you manage firewall configurations and security policies?,Requirement,
Compliance and Security,11.7,How do you conduct internal audits for security programs on demand?,Requirement,
Compliance and Security,11.8,Can you support McGrath's internal and external audit documentation of evidence requests in a timely manner?,Requirement,
Compliance and Security,11.9,How do you maintain change logs and audit trails for all updates and patches?,Requirement,
,12,Governance and Documentation,Section Header,
Governance and Documentation,12.1,"Discuss how you maintain current documentation of configurations, integrations, processes, procedures, development, etc. and publish regularly.",Requirement,
Governance and Documentation,12.2,Provide details on how you prepare for and conduct knowledge transfer to Client and/or designated third parties as needed.,Requirement,
,13,Backup and Disaster Recovery,Section Header,
Backup and Disaster Recovery,13.1,"Design methodology and gain approval for, or review and offer feedback on existing methodology, to perform automated data backups to protect critical business information.",Requirement,
Backup and Disaster Recovery,13.2,How often do you conduct disaster recovery and business continuity (DRBC) testing?,Requirement,
Backup and Disaster Recovery,13.3,Develop and test disaster recovery plans for business continuity.,Requirement,
Backup and Disaster Recovery,13.4,Provide recovery support in case of system failure of data loss.,Requirement,
Backup and Disaster Recovery,13.5,"When needed, implement disaster recovery solutions and conduct periodic tests.",Requirement,
,14,Continuous Improvement,Section Header,
Continuous Improvement,14.1,Provide details on how you participate in Quality Assurance Validation for all new system updates.,Requirement,
Continuous Improvement,14.2,"If applicable, provide details on how you App Dev Support (stored procedure development).",Requirement,
Continuous Improvement,14.3,"If applicavle, provide details on how you support Script/code development.",Requirement,
Continuous Improvement,14.4,Provide details on how you support automation.,Requirement,
Continuous Improvement,14.5,Provide details on how you support holistic Performance Program plan and execution.,Requirement,
Continuous Improvement,14.6,Provide details on how you support capacity planning.,Requirement,
Continuous Improvement,14.7,"How will you support upgrades, performance tuning, stored procedure rewrites, security reviews, database design, migrations, readiness assessments, cost optimizations, etc.",Requirement,
Continuous Improvement,14.8,"Provide fluid use of resources to support McGrath's continuous improvement efforts as part of an agile sprint methodology to support releases, defects, fixes, and transformation efforts.",Requirement,
Continuous Improvement,14.9,"Provide details on how you support quarterly or periodic release management: Coordinate update schedules, perform sandbox testing, execute regression testing for mandatory quarterly updates.",Requirement,
,15,Project Management,Section Header,
Project Management,15.1,"Manage project engagements, maintain and keep project documentation up to date and to meet agreed upon project deliverables.",Requirement,
Project Management,15.2,"Review and approve key project documentation, including Functional and Technical specification documents, to confirm alignment with business and technical requirements.",Requirement,
